GEO_ID,NAME,P10_001N,P10_002N,P10_003N,P10_004N,P10_006N
45001,"Abbeville County, South Carolina",19369,18785,13589,4948,57
45003,"Aiken County, South Carolina",132926,126220,90374,29877,1469
45005,"Allendale County, South Carolina",6687,6563,1819,4578,17
45007,"Anderson County, South Carolina",157974,151340,123038,22740,1903
45009,"Bamberg County, South Carolina",10690,10471,4158,6167,53
45011,"Barnwell County, South Carolina",15964,15518,8518,6613,124
45013,"Beaufort County, South Carolina",151768,142411,111725,20942,1977
45015,"Berkeley County, South Carolina",173949,163098,111518,38689,4424
45017,"Calhoun County, South Carolina",11423,11121,6518,4356,22
45019,"Charleston County, South Carolina",327897,313114,223230,71468,6242
45021,"Cherokee County, South Carolina",43551,42086,32071,8550,258
45023,"Chester County, South Carolina",25144,24369,15242,8578,109
45025,"Chesterfield County, South Carolina",33697,32461,21127,10062,219
45027,"Clarendon County, South Carolina",25049,24475,12845,10963,178
45029,"Colleton County, South Carolina",30438,29444,18160,10339,156
45031,"Darlington County, South Carolina",49141,47865,27838,19205,210
45033,"Dillon County, South Carolina",21491,20867,10563,9421,50
45035,"Dorchester County, South Carolina",121251,114129,79110,28431,2575
45037,"Edgefield County, South Carolina",20775,20129,12550,6875,94
45039,"Fairfield County, South Carolina",17307,16804,7482,9000,85
45041,"Florence County, South Carolina",105699,102522,56408,42556,1757
45043,"Georgetown County, South Carolina",52140,50723,35699,13876,240
45045,"Greenville County, South Carolina",406243,382870,283978,66030,10045
45047,"Greenwood County, South Carolina",54259,52217,33876,15801,547
45049,"Hampton County, South Carolina",14708,14445,6647,7516,81
45051,"Horry County, South Carolina",290082,276264,232325,30369,3790
45053,"Jasper County, South Carolina",23102,21785,12025,7505,170
45055,"Kershaw County, South Carolina",50464,48267,34991,11687,322
45057,"Lancaster County, South Carolina",74608,71230,53399,14473,1341
45059,"Laurens County, South Carolina",52791,50652,36499,12234,248
45061,"Lee County, South Carolina",13586,13301,4959,8163,30
45063,"Lexington County, South Carolina",225405,213463,169266,31091,5007
45065,"McCormick County, South Carolina",8442,8214,4794,3310,30
45067,"Marion County, South Carolina",22841,22245,9436,12372,92
45069,"Marlboro County, South Carolina",21584,20941,9126,10722,86
45071,"Newberry County, South Carolina",29709,28636,19298,7954,114
45073,"Oconee County, South Carolina",63579,60666,54457,4074,499
45075,"Orangeburg County, South Carolina",66567,64939,23411,39622,728
45077,"Pickens County, South Carolina",107066,101864,89970,6924,2370
45079,"Richland County, South Carolina",327481,311598,148438,144384,9264
45081,"Saluda County, South Carolina",14736,13887,9594,3225,24
45083,"Spartanburg County, South Carolina",252012,240026,174242,48325,6400
45085,"Sumter County, South Carolina",81402,78080,38351,36862,1168
45087,"Union County, South Carolina",21422,20859,14136,6514,54
45089,"Williamsburg County, South Carolina",24930,24466,8580,15534,118
45091,"York County, South Carolina",213111,202028,149977,38419,6262