school_num,school,school_typ,address,city,zipcode,magnet,grdlevl,x,y,mag_focus,schl_stat
5301.00000000000,ALBEMARLE ROAD,MIDDLE,6900 Democracy Drive,Charlotte,28212.00000000000,Partial,6-8,1483401.99457000010,531780.99568599998,International Baccalaureate,Current
4300.00000000000,ALBEMARLE ROAD,ELEMENTARY,7800 Riding Trail Road,Charlotte,28212.00000000000,Non Magnet,K-5,1483354.99597999989,531183.99917700002,,Current
5399.00000000000,ALEXANDER GRAHAM,MIDDLE,1800 Runnymede Lane,Charlotte,28211.00000000000,Non Magnet,6-8,1452254.00044000009,520695.99751500000,,Current
4308.00000000000,ALLENBROOK,ELEMENTARY,1430 Allenbrook Drive,Charlotte,28208.00000000000,Non Magnet,K-5,1428362.00163000007,555687.99806899996,,Current
7302.00000000000,ARDREY KELL,HIGH,10220 Ardrey Kell Road,Charlotte,28277.00000000000,Non Magnet,9-12,1453101.00005999999,470752.99766300002,,Current
4311.00000000000,ASHLEY PARK PRE K-8,MIDDLE,2401 Belfast Drive,Charlotte,28208.00000000000,Non Magnet,6-8,1435293.00613999995,545021.99512300000,,Current
4311.00000000000,ASHLEY PARK PRE K-8,ELEMENTARY,2401 Belfast Drive,Charlotte,28208.00000000000,Non Magnet,PreK-5,1435293.00613999995,545021.99512300000,,Current
5313.00000000000,BAILEY,MIDDLE,11900 Bailey Road,Cornelius,28031.00000000000,Non Magnet,6-8,1452909.00044000009,630182.99310700002,,Current
4314.00000000000,BAIN,ELEMENTARY,11540 Bain School Road,Charlotte,28227.00000000000,Non Magnet,K-5,1507069.99875000003,522082.99506900000,,Current
4437.00000000000,BALLANTYNE,ELEMENTARY,15425 Scholastic Drive,Charlotte,28277.00000000000,Non Magnet,K-5,1444457.99995000008,473699.99800299999,,Current
4328.00000000000,BARNETTE,ELEMENTARY,13659 Beatties Ford Road,Huntersville,28078.00000000000,Non Magnet,K-5,1426380.00329999998,605919.99537400005,,Current
4316.00000000000,CHARLES H PARKER ACADEMIC CENTER,ELEMENTARY,1546 Walton Road,Charlotte,28208.00000000000,Partial,K-5,1435610.00714999996,537408.99952199997,Learning Immersion & Talent Development,Current
4369.00000000000,BEREWICK,ELEMENTARY,5910 Dixie River Road,Charlotte,28278.00000000000,Non Magnet,K-5,1408532.00224999990,524108.99889100000,,Current
7496.00000000000,BERRY ACADEMY OF TECHNOLOGY,HIGH,1430 Alleghany Street,Charlotte,28208.00000000000,Full,9-12,1435186.00111000007,547310.99480999995,STEM,Current
4319.00000000000,BERRYHILL,MIDDLE,10501 Windy Grove Road,Charlotte,28278.00000000000,Non Magnet,6-8,1405506.00108999992,538408.99719400005,,Current
4319.00000000000,BERRYHILL,ELEMENTARY,10501 Windy Grove Road,Charlotte,28208.00000000000,Non Magnet,K-5,1405506.00108999992,538408.99719400005,,Current
4322.00000000000,BEVERLY WOODS,ELEMENTARY,6001 Quail Hollow Road,Charlotte,28210.00000000000,Non Magnet,K-5,1450743.00674000010,507805.99737599998,,Current
4335.00000000000,BILLINGSVILLE,ELEMENTARY,124 Skyland Avenue,Charlotte,28205.00000000000,Partial,K-2,1459438.00148999994,531341.99361100001,International Baccalaureate,Current
4442.00000000000,BLYTHE,ELEMENTARY,12202 Hambright Road,Huntersville,28078.00000000000,Partial,K-5,1452971.99998999992,596980.99881599995,International Baccalaureate,Current
4329.00000000000,BRIARWOOD ACADEMY,ELEMENTARY,1001 Wilann Drive,Charlotte,28215.00000000000,Non Magnet,K-5,1472935.99548999988,551268.99771999998,,Current
4489.00000000000,BRUNS ACADEMY,ELEMENTARY,501 South Bruns Avenue,Charlotte,28208.00000000000,Partial,K-5,1443238.00633000000,547107.99751200003,Environmental Sustainability,Current
7361.00000000000,BUTLER,HIGH,1810 Matthews-Mint Hill Rd,Matthews,28105.00000000000,Non Magnet,9-12,1494309.99637999991,503109.99528500001,,Current
5333.00000000000,CARMEL,MIDDLE,5001 Camilla Drive,Charlotte,28226.00000000000,Non Magnet,6-8,1460485.00465000002,506719.99987599999,,Current
7334.00000000000,CATO MIDDLE COLLEGE,HIGH,8120 Grier Road,Charlotte,28215.00000000000,SchoolOption,11-13,1483269.99384999997,555791.99458000006,Early & Middle Colleges,Current
4336.00000000000,CHANTILLY MONTESSORI,ELEMENTARY,701 Briar Creek Road,Charlotte,28205.00000000000,Full,PreK-6,1462207.99791999999,535426.99364300002,Montessori,Current
7567.00000000000,CHARLOTTE ENGINEERING EARLY COLLEGE,HIGH,9000 Robert D. Snyder Road,Charlotte,28262.00000000000,SchoolOption,9-13,1479717.99274999998,571907.99286000000,Early & Middle Colleges,Current
7569.00000000000,CHARLOTTE TEACHER EARLY COLLEGE,HIGH,9000 Robert D. Snyder Road,Charlotte,28262.00000000000,SchoolOption,9-11,1479717.99274999998,571907.99286000000,Early & Middle Colleges,Current
4338.00000000000,CLEAR CREEK,ELEMENTARY,13501 Albemarle Road,Charlotte,28227.00000000000,Non Magnet,K-5,1514644.99802999990,540313.99764900003,,Current
4344.00000000000,COLLINSWOOD LANGUAGE ACADEMY,MIDDLE,4000 Applegate Road,Charlotte,28209.00000000000,Full,6-8,1440876.00679000001,527456.99744399998,World Languages,Current
4344.00000000000,COLLINSWOOD LANGUAGE ACADEMY,ELEMENTARY,4000 Applegate Road,Charlotte,28209.00000000000,Full,K-5,1440876.00679000001,527456.99744399998,World Languages,Current
5345.00000000000,COMMUNITY HOUSE,MIDDLE,9500 Community House Road,Charlotte,28277.00000000000,Non Magnet,6-8,1454081.00530999992,473102.99427600001,,Current
4346.00000000000,CORNELIUS,ELEMENTARY,21126 Catawba Avenue,Cornelius,28031.00000000000,Non Magnet,K-5,1445147.00514000002,635503.99558900006,,Current
4349.00000000000,COTSWOLD,ELEMENTARY,300 Greenwich Road,Charlotte,28211.00000000000,Partial,3-5,1462932.99680000008,525067.99926900002,International Baccalaureate,Current
5351.00000000000,COULWOOD STEM ACADEMY,MIDDLE,500 Kentberry Drive,Charlotte,28214.00000000000,Partial,6-8,1419825.00132000004,571324.99468200002,STEM,Current
5353.00000000000,CRESTDALE,MIDDLE,940 Sam Newell Road,Matthews,28105.00000000000,Partial,6-8,1486350.00016000005,506162.99541300000,Visual & Performing Arts,Current
4418.00000000000,CROFT COMMUNITY,ELEMENTARY,4911 Hucks Road,Charlotte,28269.00000000000,Non Magnet,K-5,1461670.99309000000,585949.99856800004,,Current
4352.00000000000,CROWN POINT,ELEMENTARY,3335 Sam Newell Road,Matthews,28105.00000000000,Non Magnet,K-5,1487431.99931000010,517581.99357200001,,Current
4362.00000000000,DAVID COX ROAD,ELEMENTARY,4215 David Cox Road,Charlotte,28269.00000000000,Non Magnet,K-5,1462941.99875000003,582290.99998099997,,Current
4357.00000000000,DAVIDSON,ELEMENTARY,635 South Street,Davidson,28036.00000000000,Non Magnet,K-6,1449846.00065999990,638288.99559599999,,Current
4365.00000000000,DEVONSHIRE,ELEMENTARY,6500 Barrington Drive,Charlotte,28215.00000000000,Non Magnet,K-5,1478772.99791999999,548771.99713699997,,Current
4367.00000000000,DILWORTH LATTA CAMPUS,ELEMENTARY,405 E Park Avenue,Charlotte,28203.00000000000,Non Magnet,3-5,1447008.00043000001,537005.99835899996,,Current
4475.00000000000,DORTHY J. VAUGHAN ACADEMY OF TECHNOLOGY,ELEMENTARY,8601 Old Concord Road,Charlotte,28213.00000000000,Full,K-5,1482673.99536999990,563366.99386599998,Computer Science,Current
4374.00000000000,DRUID HILLS ACADEMY,MIDDLE,2801 Lucena Street,Charlotte,28206.00000000000,Non Magnet,6-8,1455415.00329999998,553511.99684299994,,Current
4374.00000000000,DRUID HILLS ACADEMY,ELEMENTARY,2801 Lucena Street,Charlotte,28206.00000000000,Non Magnet,PreK-5,1455415.00329999998,553511.99684299994,,Current
4471.00000000000,NATIONS FORD,ELEMENTARY,7050 Nations Ford Road,Charlotte,28217.00000000000,Non Magnet,K-5,1430254.00014999998,517191.99992999999,,Current
7377.00000000000,EAST MECKLENBURG,HIGH,6800 Monroe Road,Charlotte,28212.00000000000,Partial,9-12,1474889.99748999998,523586.99731000001,International Baccalaureate,Current
4379.00000000000,EASTOVER,ELEMENTARY,500 Cherokee Road,Charlotte,28207.00000000000,Non Magnet,K-5,1455911.00362000009,531460.99370100000,,Current
5381.00000000000,EASTWAY,MIDDLE,1501 Norland Road,Charlotte,28205.00000000000,Partial,6-8,1469378.99833999993,536202.99635599996,Leadership,Current
7499.00000000000,CHARLOTTE-MECKLENBURG VIRTUAL,HIGH,1900 Newcastle Street,Charlotte,28216.00000000000,Full,9-12,1450064.99989000009,554268.99992199999,Blended & Virtual Learning,Current
4382.00000000000,ELIZABETH LANE,ELEMENTARY,121 Elizabeth Lane,Matthews,28105.00000000000,Non Magnet,K-5,1477466.99692999991,500429.99703600002,,Current
4384.00000000000,ELIZABETH TRADITIONAL,ELEMENTARY,1601 Park Drive,Charlotte,28204.00000000000,Full,K-5,1454702.00735000009,538412.99554499995,Leadership,Current
4383.00000000000,ELON PARK,ELEMENTARY,11425 Ardrey Kell Road,Charlotte,28277.00000000000,Non Magnet,K-5,1448133.00704000005,468360.99883900001,,Current
4385.00000000000,ENDHAVEN,ELEMENTARY,6815 Endhaven Lane,Charlotte,28277.00000000000,Non Magnet,K-5,1450817.00396999996,484324.99643800000,,Current
4368.00000000000,FIRST WARD CREATIVE ARTS,ELEMENTARY,715 North Caldwell Street,Charlotte,28202.00000000000,Partial,K-5,1452866.00053000008,543359.99844700005,Visual & Performing Arts,Current
5394.00000000000,FRANCIS BRADLEY,MIDDLE,13345 Beatties Ford Road,Charlotte,28078.00000000000,Non Magnet,6-8,1426536.00200999994,604888.99317000003,,Current
7396.00000000000,GARINGER,HIGH,1100 Eastway Drive,Charlotte,28205.00000000000,Non Magnet,9-12,1467967.99526000000,547457.99910899997,,Current
4558.00000000000,GRAND OAK,ELEMENTARY,15410 Stumptown Road,Huntersville,28078.00000000000,Non Magnet,K-5,1442280.00332999998,615729.99675100006,,Current
4398.00000000000,GREENWAY PARK,ELEMENTARY,8301 Monroe Road,Charlotte,28212.00000000000,Partial,K-5,1478182.99319999991,516798.99874700001,STEM,Current
7405.00000000000,HARDING UNIVERSITY,HIGH,2001 Alleghany Street,Charlotte,28208.00000000000,Partial,9-12,1431740.00735000009,546143.99353500002,"STEM, International Baccalaureate",Current
4406.00000000000,HAWK RIDGE,ELEMENTARY,9201 Bryant Farms Road,Charlotte,28277.00000000000,Non Magnet,K-5,1453769.00035999995,475798.99380499998,,Current
7386.00000000000,HAWTHORNE ACADEMY OF HEALTH SCIENCE,HIGH,1411 Hawthorne Lane,Charlotte,28205.00000000000,Full,9-12,1458184.00203000009,543184.99781199999,STEM,Current
4410.00000000000,HICKORY GROVE,ELEMENTARY,6709 Pence Road,Charlotte,28215.00000000000,Non Magnet,K-5,1487305.99267000007,541682.99852000002,,Current
4412.00000000000,HIDDEN VALLEY,ELEMENTARY,5100 Snow White Lane,Charlotte,28213.00000000000,Non Magnet,K-5,1467451.99530000007,557307.99974999996,,Current
4411.00000000000,HIGHLAND CREEK,ELEMENTARY,7242 Highland Creek Parkway,Charlotte,28269.00000000000,Non Magnet,K-5,1474405.99977000011,597263.99464100006,,Current
4413.00000000000,HIGHLAND MILL MONTESSORI,ELEMENTARY,3201 Clemson Avenue,Charlotte,28205.00000000000,Full,PreK-6,1461336.99310000008,548360.99894299998,Montessori,Current
4414.00000000000,HIGHLAND RENAISSANCE,ELEMENTARY,125 W. Craighead Road,Charlotte,28206.00000000000,Non Magnet,K-5,1461667.99998000008,552855.99946800002,,Current
7415.00000000000,HOPEWELL,HIGH,11530 Beatties Ford Road,Huntersville,28078.00000000000,Non Magnet,9-12,1430183.00521000009,598199.99473699997,,Current
4416.00000000000,HORNETS NEST,ELEMENTARY,6700 Beatties Ford Road,Charlotte,28216.00000000000,Non Magnet,K-5,1443663.00252999994,578338.99837000004,,Current
4420.00000000000,HUNTERSVILLE,ELEMENTARY,200 Gilead Road,Huntersville,28078.00000000000,Non Magnet,K-5,1449720.00123999990,609785.99682799994,,Current
4422.00000000000,HUNTINGTOWNE FARMS,ELEMENTARY,2520 Huntingtowne Farms Lane,Charlotte,28210.00000000000,Partial,K-5,1443900.00533000007,508449.99969700002,International Baccalaureate,Current
4424.00000000000,IDLEWILD,ELEMENTARY,7101 Idlewild Road,Charlotte,28212.00000000000,Partial,K-5,1479134.99457999994,527536.99597199995,Learning Immersion & Talent Development,Current
7426.00000000000,INDEPENDENCE,HIGH,1967 Patriot Drive,Charlotte,28227.00000000000,Non Magnet,9-12,1495913.99677999993,530997.99364300002,,Current
4571.00000000000,IRWIN ACADEMIC CENTER,ELEMENTARY,329 N. Irwin Avenue,Charlotte,28202.00000000000,Full,K-5,1447568.00586999999,546576.99430899997,Learning Immersion & Talent Development,Current
4478.00000000000,J.H. GUNN,ELEMENTARY,7400 Harrisburg Road,Charlotte,28215.00000000000,Non Magnet,K-5,1496403.99579999992,538398.99721399997,,Current
5305.00000000000,J.M. ALEXANDER,MIDDLE,12010 Hambright Road,Huntersville,28078.00000000000,Partial,6-8,1452120.58896000008,597069.62429499999,International Baccalaureate,Current
4433.00000000000,J.V. WASHAM,ELEMENTARY,9611 Westmoreland Road,Cornelius,28031.00000000000,Non Magnet,K-5,1444162.00350000011,629877.99470200005,,Current
4432.00000000000,J.W. GRIER,ELEMENTARY,8330 Grier Road,Charlotte,28215.00000000000,Non Magnet,K-5,1484973.99273999990,556882.99600699998,,Current
4583.00000000000,J.W. WILSON,MIDDLE,7020 Tuckaseegee Road,Charlotte,28214.00000000000,Partial,6-8,1419136.00334999990,551414.99677199998,Computer Science,Current
5428.00000000000,JAMES MARTIN,MIDDLE,6301 University Pointe Boulevard,Charlotte,28262.00000000000,Non Magnet,6-8,1472799.31957999989,568277.37446500000,,Current
5431.00000000000,JAY M. ROBINSON,MIDDLE,5925 Ballantyne Commons Parkway,Charlotte,28277.00000000000,Non Magnet,6-8,1466298.99958000006,482601.99561899999,,Current
4429.00000000000,GOVERNORS VILLAGE,MIDDLE,7810 Neal Road,Charlotte,28262.00000000000,Partial,5-8,1470470.99714000011,567754.99690100003,STEM,Current
7205.00000000000,JT WILLIAMS SECONDARY MONTESSORI,HIGH,2400 Carmine Street,Charlotte,28206.00000000000,Full,9-12,1450218.00451000012,557141.99384799995,Montessori,Current
5582.00000000000,JT WILLIAMS SECONDARY MONTESSORI,MIDDLE,2400 Carmine Street,Charlotte,28206.00000000000,Full,7-8,1450218.00451000012,557141.99384799995,Montessori,Current
5434.00000000000,KENNEDY,MIDDLE,4000 Gallant Lane,Charlotte,28273.00000000000,Partial,6-8,1415395.00328999991,516513.99242700002,STEM,Current
4436.00000000000,LAKE WYLIE,ELEMENTARY,13620 Erwin Road,Charlotte,28273.00000000000,Non Magnet,PreK-5,1410420.00405000011,502775.99496899999,,Current
4408.00000000000,LAWRENCE ORR,ELEMENTARY,4835 Shamrock Drive,Charlotte,28215.00000000000,Non Magnet,K-5,1479214.99343000003,541706.99650300003,,Current
4440.00000000000,LEBANON ROAD,ELEMENTARY,7300 Lebanon Road,Charlotte,28227.00000000000,Non Magnet,PreK-5,1495224.99913999997,526227.99432499998,,Current
4444.00000000000,LONG CREEK,ELEMENTARY,9213 Beatties Ford Road,Huntersville,28078.00000000000,Partial,PreK-5,1436124.00414999994,587434.99887899996,Visual & Performing Arts,Current
7445.00000000000,MALLARD CREEK,HIGH,3825 Johnston Oehler Road,Charlotte,28269.00000000000,Non Magnet,9-12,1472372.99695000006,592611.99771100003,,Current
4446.00000000000,MALLARD CREEK,ELEMENTARY,9801 Mallard Creek Road,Charlotte,28269.00000000000,Partial,K-5,1470912.99264999991,581733.99551699997,Learning Immersion & Talent Development,Current
7290.00000000000,HAWTHORNE MILITARY AND GLOBAL LEADERSHIP,HIGH,1411 Hawthorne Lane,Charlotte,28205.00000000000,Full,9-12,1458184.00203000009,543184.99781199999,"Military, Global Leadership & Public Safety",Current
8364.00000000000,MARIE G. DAVIS,MIDDLE,3351 Griffith Street,Charlotte,28203.00000000000,Partial,6-8,1439426.00214000000,533878.99345800001,International Baccalaureate,Current
8364.00000000000,MARIE G. DAVIS,ELEMENTARY,3351 Griffith Street,Charlotte,28203.00000000000,Partial,K-5,1439426.00214000000,533878.99345800001,International Baccalaureate,Current
5448.00000000000,MARTIN LUTHER KING JR.,MIDDLE,500 Bilmark Avenue,Charlotte,28213.00000000000,Non Magnet,6-8,1469127.99753000005,555503.99515600002,,Current
4447.00000000000,MATTHEWS,ELEMENTARY,200 E. McDowell Street,Matthews,28105.00000000000,Non Magnet,K-5,1484636.99931999994,500589.99409200001,,Current
4449.00000000000,MCALPINE,ELEMENTARY,9100 Carswell Lane,Charlotte,28277.00000000000,Non Magnet,PreK-5,1453094.00105000008,489740.99348000000,,Current
5450.00000000000,MCCLINTOCK,MIDDLE,1925 Rama Road,Charlotte,28212.00000000000,Partial,6-8,1471509.99637000007,525055.99666900001,STEAM,Current
4451.00000000000,MCKEE ROAD,ELEMENTARY,4101 McKee Road,Charlotte,28270.00000000000,Non Magnet,K-5,1474930.99445000011,484373.99797999999,,Current
